Name	Connections	Vents	Tasks	Actions
Admin	Cafeteria, Storage	Cafeteria, Hallway(SE)	Upload Data(2/2), Fix Wiring, Swipe Card	View Admin Map, Fix O2 Depletion(1/2)
Cafeteria	Admin, MedBay, Storage, Upper Engine, Weapons	Admin, Hallway(SE)	Empty Garbage(1/2), Fix Wiring, Upload Data(1/2)	Call Emergency Meeting
Communications	Shields, Storage	None	Divert Power(2/2), Upload Data(1/2)	Fix Communications Sabotage
Electrical	Storage, LowerEngine	MedBay, Security	Calibrate Disbributer, Divert Power(1/2), Download Data(1/2), Fix Wiring	Fix Lights
Lower Engine	Electrical, Reactor, Security, Storage, Upper Engine	Reactor(S)	Divert Power(1/2), Align Engine Output, Fuel Engines(4/4)	None
MedBay	Cafeteria, Upper Engine	Electrical, Security	Inspect Sample, Submit Scan	None
Navigation	O2, Shields, Weapons	Shields, Weapons	Divert Power(2/2), Chart Course, Fix Wiring, Stabilize Steering, Upload Data(1/2)	None
O2	Navigation, Shields, Weapons	None	Clean O2 Filter, Divert Power(2/2), Empty Chute	Fix O2 Depletion(2/2)
Reactor	Lower Engine, Security, Upper Engine	Lower Engine, Upper Engine	Start Reactor, Unlock Manifolds	Fix Reactor Meltdown
Security	Lower Engine, Reactor, Upper Engine	Electrical, MedBay	Divert Power(2/2), Fix Wiring	Check Security Cameras
Shields	Communications, Navigation, O2, Storage, Weapons	Navigation(S)	Divert Power(2/2), Prime Shields	None
Storage	Admin, Cafeteria, Communications, Electrical, Lower Engine, Shields	None	Fix Wiring,  Empty Chute(2/2), Empty Garbage(2/2), Fuel Engines (1/4,3/4)
Upper Engine	Cafeteria, Lower Engine, MedBay, Reactor, Security	Reactor(N)	Align Engine Output(1/2), Divert Power(2/2), Fuel Engines(2/4)	None
Weapons	Cafeteria, Navigation, O2, Shields	Navigation(N)	Clear Asteroids, Divert Power(2/2), Upload Data(1/2)	None
