Name	Type	Locations	Steps	Description
Align Engine Output	Short	(1) Lower Engine. (2) Upper Engine	2	"Step 1, 2: Move the arrow and align the center line with the green grid."
Calibrate Distributer	Short	Electrical	1	"Press the button below the meter in time to that the spinning black node connects with the device."
Chart Course	Short	Navigation	1	"Tap and drag the ship along the grid line."
Clean O2 Filter	Short	O2	1	"Tap and drag the floating leaves toward the hole."
Clear Asteroids	Visual, Long	Weapons	1	"Tap and destroy 20 asteroids."
Divert Power	Long	(1) Electrical. (2) Communications, Lower Engine, Navigation, O2, Reactor, Security, Shields, Upper Engine	2	"Step 1: Pull up the glowing lever on the device. Step 2: Flip the switch in the center."
Empty Chute	Visual, Long	(1) O2. (2) Storage	2	"Step 1, 2: Pull and hold the lever."
Empty Garbabe	Visual, Long	(1) Cafeteria. (2) Storage	2	"Step 1, 2: Pull and hold the lever."
Fix Wiring	Common	Admin, Cafeteria, Electrical, Navigation, Security, Storage	3	"Step 1, 2, 3: Connect wires of the same color."
Fuel Engine	Long	(1) Storage. (2) Lower Engine. (3) Storage. (4) Upper Engine	4	"Step 1, 3: Fill the gas container by pressing and holding the button. Step 2, 4: Fill the gas tank by pressing and holding the button."
Inspect Sample	Long	MedBay	1	"Press the 'Start' button and wait. After the countdown ends, push the button below the red sample."
Prime Shields	Visual, Short	Shields	1	"Tap all the red cells to make all the cells white."
Stabilize Steering	Short	Navigation	1	"Move the cursor to the center."
Start Reactor	Long	Reactor	1	"Press the buttons in the exact sames order as the blue squares show on the left display."
Submit Scan	Visual, Long	MedBay	1	"Stand on the platform and scan yourself."
Swipe Card	Common	Admin	1	"Use the card in the wallet and swipe it across the sensor."
Unlock Manifolds	Short	Reactor	1	"Press the buttons in numerical order."
Upload Data	Short	(1) Cafeteria, Communications, Electrical, Navigation, Weapons. (2) Admin	2	"Step 1: Press the 'Download' button. Step 2: Press the 'Upload' button."
